sampleID,seq_sampleID,Date,transect_no,sample_no,Depth (m),Location,latitude,longitude,niskin_time,freeze_time,Volume filtered (ml SW),field_notes,extraction_date,elution_volume,nanodrop_dna,nanodrop_260-230,nanodrop_260-280,COI_16S_18S_PCR_dilutions,COI_16S_18S_qPCR_dilutions,12S_dilutions,16S_spike_copies,16Sin_qPCR_quantity,16S_qPCR_quantity,16SV4V5_seq,16S_DADA2_reads,16S_spike_main_ASV,18S_spike_copies,18S_qPCR_quantity,18SV4_seq,18S_DADA2_reads,18S_spike_main_ASV,12S_qPCR_quantity,12S_DADA2_reads,COI_spike_copies,COI_qPCR_quantity,uL_per_qPCR_reaction,uL_per_PCR_reaction,16Sin extraction efficiency,DNA (ng/L SW),DNA (Î¼g/L SW),12S copies/L SW,16S copies/L SW,18S copies/L SW,COI copies/L SW,12S copies/L SW * eff,16S copies/L SW * eff,18S copies/L SW * eff,COI copies/L SW * eff,16S_spike_ratios,18S_spike_ratios,16S_quant_reads,18S_quant_reads,16S seq/L SW,18S seq/L SW
BBT12-BL1,BBT12_Blank1_2023Aug31_CoolerBlank_0m,2023-08-31,12,Blank1,0,Cooler blank 1,NA,NA,09:00:00,09:06:00,1000,NA,2024-06-10,100,10.2,0.8,2.02,1,0.01,1,500000000,65807,101905,original,11869,3646,1000000,11086,original,50637,12657,40,27179,10000000,143,5,2,0.263228,1019.9999999999998,1.0199999999999998,800,203810000,22172000,286000,3039.190359688179,774271734.0100597,84231160.81875788,1086510.553588524,0.3071867891145,0.2499555660880384,1627674163.4668128,4000711.0689736903,6183514532.902323,15198653.140903285
BBT12-BL2,BBT12_Blank2_2023Aug31_CoolerBlank_0m,2023-08-31,12,Blank2,0,Cooler blank 2,NA,NA,13:40:00,13:46:00,1000,NA,2024-06-10,100,15.6,0.7,1.58,1,0.01,1,500000000,51283,40845,original,19532,5865,1000000,859,original,11231,9797,113,24553,10000000,62,5,2,0.205132,1560,1.56,2260,81690000,1718000,124000,11017.296180020669,398231382.71941966,8375095.060741376,604488.8169568863,0.30027646938357566,0.8723176921022171,1665132139.8124468,1146371.3381647442,8117369010.258988,5588456.887100716
BBT13-1B,BBT13_1B_2023Sep25_Tufts_10m,2023-09-25,13,1,10,Tufts Cove,44.40472,-63.35711,09:47:00,09:58:00,1150,NA,2024-06-07,100,62,1.94,1.91,0.25,0.01,1,500000000,62766,386874,original,16924,22,1000000,212876,original,25472,524,406,32740,10000000,5122,5,2,0.251064,5391.304347826087,5.391304347826087,7060.869565217391,672824347.8260869,370219130.43478256,8907826.086956521,28123.783438555074,2679891771.9230433,1474600621.4940517,35480300.19021652,0.0012999290947766486,0.020571608040201004,384636363636.36365,48610687.02290076,5328783149508.576,673456371.7396258
BBT13-10B,BBT13_10B_2023Sep25_McNabsIsland_1m,2023-09-25,13,10,1,McNabs Island,44.37006,-63.32841,16:40:00,16:46:00,590,NA,2024-06-07,100,66.1,1.55,1.86,0.25,0.01,1,500000000,19055,368480,original,23952,72,1000000,228281,original,42588,768,52,29786,10000000,5331,5,2,0.07622,11203.389830508473,11.203389830508472,1762.7118644067796,1249084745.7627118,773833898.3050848,18071186.440677967,23126.63165057439,16387886981.930096,10152635768.893791,237092448.7100232,0.003006012024048096,0.01803324880247957,166333333333.33334,55453125,14795114350816.18,4932476906.724069
BBT13-2B,BBT13_2B_2023Sep25_Tufts_1m,2023-09-25,13,2,1,Tufts Cove,44.40472,-63.35711,09:56:00,10:04:00,720,NA,2024-06-07,100,105.6,1.98,1.9,0.2,0.01,1,500000000,22242,780192,original,22026,10,1000000,200608,original,49740,150,56,29519,10000000,14545,5,2,0.088968,14666.666666666666,14.666666666666666,1555.5555555555557,2167200000,557244444.4444445,40402777.77777778,17484.438849424012,24359320205.017532,6263425551.259378,454127076.90155756,4.540088985744121e-4,0.0030156815440289505,1101300000000,331600000,85962555825315.45,25883213939.593754
BBT13-3B,BBT13_3B_2023Sep25_McKayBridge_21m,2023-09-25,13,3,21,McKay bridge,44.40625,-63.36757,10:45:00,10:52:00,1445,NA,2024-06-07,100,26.7,1.85,2.14,0.5,0.01,1,500000000,67291,267501,original,7795,29,1000000,49091,original,12931,197,117,28685,10000000,2468,5,2,0.269164,1847.7508650519032,1.8477508650519032,1619.3771626297578,370243598.61591697,67946020.76124567,3415916.955017301,6016.321508930458,1375531640.9918003,252433537.77342317,12690838.87524818,0.0037203335471456063,0.01523470729255278,134396551724.13792,65639593.90862944,691087918687.193,337528974.9315794
BBT13-4B,BBT13_4B_2023Sep25_McKayBridge_1m,2023-09-25,13,4,1,McKay bridge,44.40625,-63.36757,10:52:00,11:01:00,500,NA,2024-06-07,100,75.2,1.78,1.9,0.25,0.01,1,500000000,60073,569925,original,22150,57,1000000,242859,original,51856,378,59,29407,10000000,11253,5,2,0.240292,15040,15.04,2360,2279700000,971436000,45012000,9821.3839828209,9487207231.202038,4042731343.532036,187322091.45539594,0.0025733634311512414,0.007289416846652268,194298245614.0351,137185185.1851852,6468737889369.104,4567282645.620667
BBT13-5B,BBT13_5B_2023Sep25_DRDCBarge_43m,2023-09-25,13,5,43,DRDC barge,44.40625,-63.36757,12:10:00,12:20:00,840,NA,2024-06-07,100,69.1,0.81,1.59,0.25,0.01,1,500000000,35138,162208,original,10803,28,1000000,58733,original,18086,317,455,31997,10000000,846,5,2,0.140552,8226.190476190475,8.2261904761904745,10833.333333333334,386209523.80952376,139840476.19047618,2014285.7142857143,77077.04858937144,2747805252.2164307,994937647.2086928,14331249.03441939,0.002591872627973711,0.01752736923587305,192910714285.7143,57053627.760252364,6535819120180.373,1932978127.0667613
BBT13-6B,BBT13_6B_2023Sep25_DRDCBarge_1m,2023-09-25,13,6,1,DRDC barge,44.40625,-63.36757,12:19:00,12:29:00,620,NA,2024-06-07,100,114.4,1.36,1.82,0.2,0.01,1,500000000,77774,643986,original,32823,50,1000000,68574,original,26834,234,43,32498,10000000,11548,5,2,0.311096,18451.612903225807,18.451612903225808,1387.0967741935485,2077374193.548387,221206451.6129032,37251612.9032258,4458.741913086469,6677598534.048613,711055274.2976549,119743143.28447106,0.0015233220607500837,0.008720280241484683,328230000000,114675213.67521368,8508679407746.35,2972716172.126872
BBT13-7B,BBT13_7B_2023Sep25_SackvilleRiver_15m,2023-09-25,13,7,15,Sackville River,44.4303,-63.40106,13:26:00,13:33:00,1340,NA,2024-06-07,100,65.7,1.02,1.73,0.25,0.01,1,500000000,101779,324638,original,17083,48,1000000,224399,original,50056,1027,78,27338,10000000,3346,5,2,0.407116,4902.985074626866,4.902985074626866,1164.1791044776119,484534328.35820895,334923880.5970149,4994029.850746268,2859.575905829326,1190162824.252078,822674325.2464038,12266847.411416572,0.0028098109231399636,0.020517020936551063,177947916666.66666,48740019.47419669,1304757884596.2173,357373808.559141
BBT13-8B,BBT13_8B_2023Sep25_SackvilleRiver_1m,2023-09-25,13,8,1,Sackville River,44.4303,-63.40106,13:32:00,13:44:00,620,NA,2024-06-07,100,78.3,1.48,1.9,0.25,0.01,1,500000000,93625,684639,original,44470,53,1000000,269234,original,63660,664,154,32021,10000000,8274,5,2,0.3745,12629.032258064515,12.629032258064516,4967.741935483871,2208512903.2258067,868496774.1935483,26690322.580645163,13264.998492613808,5897230716.223782,2319083509.195056,71269219.17395237,0.0011918147065437374,0.010430411561420045,419528301886.7925,95873493.97590362,7227327652126.146,1651638640.3532212
BBT13-9B,BBT13_9B_2023Sep25_McNabsIsland_32m,2023-09-25,13,9,32,McNabs Island,44.37006,-63.32841,16:31:00,16:36:00,1000,NA,2024-06-07,100,35.1,0.86,1.7,0.5,0.01,1,500000000,18824,138670,original,12481,102,1000000,34289,original,13107,921,220,21296,10000000,778,5,2,0.075296,3510,3.51,4400,277340000,68578000,1556000,58436.03909902252,3683329791.755206,910778793.0301743,20665108.372290693,0.008172422081563976,0.07026779583428702,61181372549.01961,14231270.358306188,1625089581093.806,378008668.6757912
BBT13-BL1,BBT13_Blank1_2023Sep25_CoolerBlank_0m,2023-09-25,13,Blank1,0,Cooler blank 1,NA,NA,09:10:00,09:18:00,1000,OAE MgOH release sampling was on Sept 12 and 15.,2024-06-07,100,5.5,0.93,3.02,1,0.01,1,500000000,21840,36470,original,12924,4713,1000000,480,original,11225,10921,15,31624,10000000,58,5,2,0.08736,550,0.55,300,72940000,960000,116000,3434.0659340659345,834935897.4358975,10989010.98901099,1327838.8278388279,0.3646703806870938,0.9729175946547884,1371101209.420751,1027836.2787290541,15694839851.428013,11765525.168601811
BBT13-BL2,BBT13_Blank2_2023Sep25_CoolerBlank_0m,2023-09-25,13,Blank2,0,Cooler blank 2,NA,NA,13:39:00,13:46:00,940,NA,2024-06-07,100,9.6,0.65,1.91,1,0.01,1,500000000,83528,51164,Failed,3139,2485,1000000,1174,original,7062,5321,43,23857,10000000,82,5,2,0.334112,1021.2765957446808,1.0212765957446808,914.8936170212766,108859574.46808511,2497872.340425532,174468.08510638296,2738.2842191279465,325817613.45921457,7476152.728502814,522184.43248486426,0.7916533928002548,0.7534692721608609,631589537.22334,1327194.1364405188,2011013561.3313894,4225854.371551413
BBT14-10B,BBT14_10B_2023Nov03_McKayBridge_1m,2023-11-03,14,10,1,McKay bridge,44.40617,-63.36779,15:12:00,15:18:00,650,NA,2024-06-13,100,74.7,2.02,1.89,0.25,0.01,1,500000000,94040,824550,original,9829,10,1000000,349881,original,19043,212,45,29503,10000000,8967,5,2,0.37616,11492.307692307691,11.492307692307692,1384.6153846153845,2537076923.076923,1076556923.076923,27590769.230769232,3680.9213755194187,6744674933.743416,2861965448.418022,73348493.2761836,0.0010173974972021568,0.011132699679672321,491450000000,89825471.6981132,8039950266662.305,1469513328.1764421
BBT14-11B,BBT14_11B_2023Nov03_Tufts_12m,2023-11-03,14,11,12,Tufts Cove,44.40466,-63.35707,15:29:00,15:35:00,550,NA,2024-06-13,100,44.1,1.73,1.87,0.5,0.01,1,500000000,58865,575761,original,11125,33,1000000,144993,original,12146,251,46,30698,10000000,5359,5,2,0.23546,8018.181818181818,8.018181818181818,1672.7272727272725,2093676363.6363635,527247272.7272727,19487272.727272727,7104.0825309066195,8891855787.12462,2239222257.3994427,82762561.48506212,0.002966292134831461,0.020665239585048574,168560606060.60605,48390438.24701195,2603192297639.5303,747325363.0728548
BBT14-12B,BBT14_12B_2023Nov03_Tufts_1m,2023-11-03,14,12,1,Tufts Cove,44.40466,-63.35707,15:35:00,15:41:00,650,NA,2024-06-13,100,54.6,1.83,1.84,0.5,0.01,1,500000000,56189,377102,cleaned,5824,39,1000000,170134,original,NA,NA,50,28718,10000000,4310,5,2,0.224756,8400,8.4,1538.4615384615386,1160313846.1538463,523489230.7692307,13261538.46153846,6845.0298922455395,5162548924.851155,2329144631.3746057,59004157.67115655,0.006696428571428571,NA,74666666666.66667,NA,1022191130575.334,NA
BBT14-3B,BBT14_3B_2023Nov03_McNabsIsland_36m,2023-11-03,14,3,36,McNabs Island,44.37022,-63.32816,11:40:00,11:50:00,1080,NA,2024-06-13,100,35.4,1.71,1.85,0.5,0.01,1,500000000,106128,625320,cleaned,19464,97,1000000,30868,cleaned,95786,1890,148,26871,10000000,6302,5,2,0.424512,3277.777777777778,3.2777777777777777,2740.740740740741,1158000000,57162962.96296296,11670370.370370371,6456.214996845179,2727838082.3156943,134655705.758525,27491261.42575562,0.004983559391697492,0.019731484768128953,100329896907.21649,50680423.28042328,437669854759.66345,221083587.04698
BBT14-4B,BBT14_4B_2023Nov03_McNabsIsland_1m,2023-11-03,14,4,1,McNabs Island,44.37022,-63.32816,11:50:00,11:59:00,950,NA,2024-06-13,100,51.8,2.04,1.91,0.5,0.01,1,500000000,40462,587735,original,10396,25,1000000,92881,original,5057,137,66,26802,10000000,8412,5,2,0.161848,5452.631578947368,5.4526315789473685,1389.4736842105265,1237336842.1052632,195538947.36842105,17709473.684210528,8585.053162291326,7645054879.301958,1208164125.4042132,109420404.85029489,0.0024047710657945365,0.027091160767253313,207920000000,36912408.759124085,2704551899247.897,480143926.58380044
BBT14-5B,BBT14_5B_2023Nov03_SackvilleRiver_15m,2023-11-03,14,5,15,Sackville River,44.43087,-63.40109,13:58:00,14:08:00,1075,NA,2024-06-13,100,62.2,2.11,1.9,0.25,0.01,1,500000000,138033,998790,original,19153,49,1000000,542711,original,19957,198,79,33017,10000000,13004,5,2,0.552132,5786.0465116279065,5.786046511627907,1469.7674418604652,1858213953.488372,1009694883.7209302,24193488.372093022,2661.9856155058305,3365524826.469707,1828720095.4136515,43818304.992452934,0.002558345951025949,0.009921330861351907,195438775510.20407,100792929.29292929,1317101795241.1047,679264121.3227191
BBT14-6B,BBT14_6B_2023Nov03_SackvilleRiver_1m,2023-11-03,14,6,1,Sackville River,44.43087,-63.40109,14:07:00,14:15:00,650,NA,2024-06-13,100,90.8,2.01,1.93,0.25,0.01,1,500000000,76982,909802,original,37183,153,1000000,206915,original,36551,433,321,35787,10000000,11230,5,2,0.307928,13969.23076923077,13.96923076923077,9876.923076923078,2799390769.230769,636661538.4615386,34553846.15384616,32075.430220451133,9091056250.911802,2067566244.256899,112214044.04226363,0.004114783637683888,0.011846461109135181,121513071895.42484,84413394.91916859,2428401282526.0815,1686975675.0163093
BBT14-7B,BBT14_7B_2023Nov03_DRDCBarge_46m,2023-11-03,14,7,46,DRDC barge,44.41255,-63.39116,14:30:00,14:39:00,750,NA,2024-06-13,100,52.2,1.87,1.88,0.5,0.01,1,500000000,24086,684588,original,27017,77,1000000,154039,original,41205,303,71,34326,10000000,7408,5,2,0.096344,6960,6.96,1893.3333333333333,1825568000,410770666.6666667,19754666.666666668,19651.803260538625,18948434775.38819,4263583271.056492,205043040.21700022,0.0028500573712847465,0.007353476519839825,175435064935.06494,135990099.009901,4855796311413.683,3764015029.75175
BBT14-8B,BBT14_8B_2023Nov03_DRDCBarge_1m,2023-11-03,14,8,1,DRDC barge,44.41255,-63.39116,14:38:00,14:45:00,600,NA,2024-06-13,100,51.4,1.85,1.86,0.5,0.01,1,500000000,51576,1010166,original,31735,181,1000000,119857,original,12976,104,43,27736,10000000,11069,5,2,0.206304,8566.666666666666,8.566666666666666,1433.3333333333333,3367220000,399523333.3333333,36896666.666666664,6947.67592161729,16321641848.921978,1936575797.5285666,178846104.13112044,0.005703481959981094,0.008014796547472256,87665745856.35359,124769230.76923077,1416449282876.299,2015944605.5211527
BBT14-9B,BBT14_9B_2023Nov03_McKayBridge_22m,2023-11-03,14,9,22,McKay bridge,44.40617,-63.36779,15:05:00,15:13:00,650,NA,2024-06-13,100,35.1,1.84,1.87,0.5,0.01,1,500000000,57613,650377,original,17491,94,1000000,90452,original,10784,269,61,27178,10000000,5878,5,2,0.230452,5400,5.4,1876.923076923077,2001160000,278313846.15384614,18086153.846153848,8144.529346341437,8683630430.631977,1207686833.500452,78481218.84884422,0.005374192441827226,0.024944362017804155,93037234042.55319,40089219.33085502,1242204070429.5264,535258726.7410937
BBT14-BL2,BBT14_Blank2_2023Nov03_CoolerBlank_0m,2023-11-03,14,Blank2,0,Cooler blank 1,NA,NA,11:08:00,11:12:00,850,NA,2024-06-13,100,5.7,0.84,2.3,1,0.01,1,500000000,116453,106005,original,6817,3887,1000000,2213,original,22766,17910,23,23162,10000000,183,5,2,0.465812,670.5882352941176,0.6705882352941176,541.1764705882352,249423529.4117647,5207058.823529412,430588.23529411765,1161.7916038836167,535459647.69427305,11178455.736497581,924382.0152639212,0.570192166642218,0.7866994641131512,876897350.1414973,1271133.4450027917,2214721693.17866,3210417.7474345663
BBT14-BL3,BBT14_Blank3_2023Nov03_CoolerBlank_0m,2023-11-03,14,Blank3,0,Cooler blank 2,NA,NA,14:13:00,14:18:00,600,NA,2024-06-13,100,7.3,0.88,2.05,1,0.01,1,500000000,35037,101852,original,4719,3340,1000000,2127,original,22465,9811,28,10908,10000000,127,5,2,0.140148,1216.6666666666665,1.2166666666666666,933.3333333333334,339506666.6666667,7090000,423333.3333333333,6659.6264900914275,2422486704.5314,50589376.94437309,3020616.3008628977,0.707777071413435,0.43672379256621413,706437125.748503,2289776.781164,8401084636.104961,27230460.907564383
BBT15-1B,BBT15_1B_2023Nov24_McNabsIsland_26m,2023-11-24,15,1,26,McNabs Island,44.36997,-63.32658,09:05:00,09:10:00,1120,NA,2024-06-14,100,35.3,1.86,1.82,0.5,0.01,1,500000000,148893,642527,original,7498,30,1000000,138014,original,19999,288,44,19363,10000000,7780,5,2,0.595572,3151.7857142857138,3.151785714285714,785.7142857142858,1147369642.857143,246453571.42857143,13892857.142857144,1319.259947939604,1926500310.385886,413809869.21576476,23326914.534022994,0.0040010669511869835,0.0144007200360018,124966666666.66667,69440972.22222222,374689814001.9375,208206121.3608281
BBT15-11B,BBT15_11B_2023Nov24_SackvilleRiver_15m,2023-11-24,15,11,15,Sackville River,44.71788,-63.66819,11:29:00,11:42:00,800,NA,2024-06-14,100,42.6,2.27,1.91,0.5,0.01,1,500000000,44293,647792,original,12843,34,1000000,602202,original,34961,261,26,13599,10000000,5817,5,2,0.177172,5325,5.325,650,1619480000,1505505000,14542500,3668.7512699523627,9140722010.249928,8497420585.645588,82081254.37428035,0.0026473565366347427,0.0074654615142587455,188867647058.82352,133950191.57088123,2665032384615.282,1890115136.2924337
BBT15-12B,BBT15_12B_2023Nov24_SackvilleRiver_1m,2023-11-24,15,12,1,Sackville River,44.71788,-63.66819,11:39:00,11:48:00,510,NA,2024-06-14,100,46.4,2.24,1.87,0.5,0.01,1,500000000,63563,995611,original,20463,22,1000000,537757,original,31190,198,19,15707,10000000,6728,5,2,0.254252,9098.039215686274,9.098039215686274,745.0980392156863,3904356862.7450976,2108850980.3921566,26384313.725490198,2930.5493731246415,15356248378.55788,8294333890.754673,103772295.69675046,0.0010751111762693642,0.006348188521962167,465068181818.1818,157525252.52525252,7173185624670.997,2429660684.416735
BBT15-13B,BBT15_13B_2023Nov24_DRDCBarge_46m,2023-11-24,15,13,46,DRDC barge,44.68656,-63.65201,11:58:00,12:09:00,1060,NA,2024-06-14,100,41,1.16,1.75,0.5,0.01,1,500000000,8854,82750,original,4258,7,1000000,24717,original,9736,135,379,21596,10000000,439,5,2,0.035416,3867.9245283018868,3.8679245283018866,7150.943396226415,156132075.4716981,46635849.056603774,828301.8867924528,201912.79072245353,4408518056.0113535,1316801701.3949564,23387787.632495277,0.0016439643024894317,0.013866064092029581,304142857142.8571,72118518.51851852,16203254106600.209,3842124363.2831187
BBT15-14B,BBT15_14B_2023Nov24_DRDCBarge_1m,2023-11-24,15,14,1,DRDC barge,44.68656,-63.65201,12:08:00,12:17:00,690,NA,2024-06-14,100,41.5,2.37,1.92,0.5,0.01,1,500000000,20182,148298,original,15198,30,1000000,102770,original,29053,391,30,13317,10000000,1242,5,2,0.080728,6014.492753623188,6.0144927536231885,869.5652173913044,429849275.3623189,297884057.97101444,3600000,10771.544165485388,5324661522.177174,3689971979.623111,44594192.84510951,0.0019739439399921043,0.013458162668227034,253300000000,74304347.82608695,9094773790391.494,2667908547.6542797
BBT15-16B,BBT15_16B_2023Nov24_Tufts_1m,2023-11-24,15,16,1,Tufts Cove,44.67459,-63.59547,12:36:00,12:45:00,670,NA,2024-06-14,100,25.8,2.13,1.88,1,0.01,1,500000000,28568,142518,cleaned,18766,108,1000000,93179,cleaned,107742,1618,74,8605,10000000,1017,5,2,0.114272,3850.7462686567164,3.8507462686567164,2208.9552238805973,425426865.67164177,278146268.6567164,3035820.895522388,19330.67789030206,3722931826.446039,2434071939.378994,26566620.830320533,0.005755088990727912,0.015017356277032169,86879629629.62962,66589616.81087763,1134758199729.1306,869744887.438999
BBT15-2B,BBT15_2B_2023Nov24_McNabsIsland_1m,2023-11-24,15,2,1,McNabs Island,44.36997,-63.32658,09:17:00,09:26:00,880,NA,2024-06-14,100,39,2.39,1.89,0.5,0.01,1,500000000,68283,792921,original,11183,30,1000000,196015,original,20148,228,42,15525,10000000,7595,5,2,0.273132,4431.818181818182,4.431818181818182,954.5454545454546,1802093181.818182,445488636.3636364,17261363.636363637,3494.813696474432,6597883740.529055,1631037873.129609,63197881.01124598,0.0026826432978628275,0.011316259678379988,186383333333.33334,88368421.05263157,1550892919352.126,735312305.3108485
BBT15-3B,BBT15_3B_2023Nov24_Tufts_10m,2023-11-24,15,3,10,Tufts Cove,44.67464,-63.59552,09:53:00,10:00:00,890,Tanja's patch samples (for OAE incubations),2024-06-14,100,42.3,2.25,1.9,0.5,0.01,1,500000000,68957,870525,original,12552,35,1000000,394553,original,38768,374,44,21699,10000000,8360,5,2,0.275828,4752.808988764044,4.752808988764045,988.7640449438203,1956235955.0561798,886635955.0561798,18786516.853932586,3584.7123748996487,7092231227.635264,3214452321.9404116,68109535.12309332,0.002788400254939452,0.009647131654973174,179314285714.2857,103657754.01069519,1460886679537.0254,844507348.9919152
BBT15-4B,BBT15_4B_2023Nov24_Tufts_1m,2023-11-24,15,4,1,Tufts Cove,44.67464,-63.59552,09:57:00,10:05:00,640,Tanja's patch samples (for OAE incubations),2024-06-14,100,26.1,2.43,1.91,1,0.01,1,500000000,112680,656496,cleaned,13223,143,1000000,216855,cleaned,98500,2323,23,14495,10000000,5299,5,2,0.45072,4078.125,4.078125,718.7499999999999,2051550000,677671875,16559375,1594.6707490237839,4551717252.396166,1503531849.0415335,36739827.38729145,0.01081448990395523,0.023583756345177665,46234265734.26573,42402066.29358588,160279198193.53525,146994206.12293208
BBT15-7B,BBT15_7B_2023Nov24_McKayBridge_27m,2023-11-24,15,7,27,McKay bridge,44.67666,-63.6101,10:41:00,10:49:00,1200,Tanja's out-of-patch/control samples (for OAE incubations),2024-06-14,100,46.5,2.16,1.9,0.5,0.01,1,500000000,36399,853707,original,8596,21,1000000,345006,original,11515,98,33,8400,10000000,7345,5,2,0.145596,3875,3.875,550,1422845000,575010000,12241666.666666666,3777.576307041402,9772555564.713316,3949353004.2034116,84079690.83399728,0.0024429967426710096,0.00851063829787234,204666666666.66666,117500000,2342860457094.3647,1345046109.3253477
